Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator
33,0,Non-Travel,428,Operations,1,1,Medical,2,Female,58,3,3,Operations Manager,4,Married,19282365,9138,1,Yes,2.21,3,4,1,6,3,3,6.4,5.2,0.5,6.4,0.063,0.711,0.407,0.864
32,0,Travel Rarely,466,Operations,11,4,Life Sciences,2,Female,55,2,4,Operations Specialist,3,Married,13483097,9515,2,No,2.42,1,2,0,7,2,1,7.6,2.8,0.9,0.6,0.108,0.323,0.231,0.067
36,0,Travel Rarely,957,R&D,1,4,Medical,3,Male,114,3,1,Product Manager,2,Divorced,22356006,10000,1,No,2.1,3,3,1,13,1,1,13.2,0.5,0.1,0.9,0.008,0.035,0.07,0.065
22,0,Travel Rarely,214,Operations,30,2,Technical Degree,4,Male,26,1,2,Process Engineer,2,Married,12234506,4380,2,Yes,0.41,1,3,0,11,2,1,0.5,0.5,0.0,0.5,0.0,0.333,0.161,0.333
44,0,Non-Travel,763,R&D,30,1,Life Sciences,2,Female,88,3,2,Technical Architect,3,Single,16250895,10000,2,No,2.04,2,4,0,10,2,4,10.4,5.2,0.6,1.5,0.055,0.458,0.175,0.128
40,0,Non-Travel,917,HR,29,4,Technical Degree,3,Female,103,2,2,Recruiter,2,Divorced,17687333,10000,1,Yes,4.25,2,3,2,11,4,1,3.2,0.5,0.0,3.2,0.005,0.119,0.311,0.761
42,0,Travel Rarely,734,Finance,6,3,Business,3,Male,89,2,3,Financial Manager,2,Married,25000000,10000,2,No,2.17,4,3,0,10,2,4,10.2,3.3,0.2,6.3,0.02,0.297,0.178,0.565
37,0,Travel Rarely,743,HR,6,4,Life Sciences,2,Male,87,4,3,Chief People Officer,3,Single,25000000,10000,2,No,2.91,4,3,0,16,1,3,2.1,0.5,0.3,2.1,0.088,0.16,0.058,0.679
52,0,Travel Rarely,308,Sales,19,4,Life Sciences,4,Female,41,2,4,Sales Manager,3,Married,25000000,7237,2,No,3.85,3,3,1,18,0,2,8.5,8.5,0.8,1.8,0.087,0.894,0.0,0.189
62,0,Travel Rarely,337,HR,17,2,Business,3,Female,37,1,1,Chief People Officer,4,Married,25000000,7219,2,No,3.24,3,2,2,21,1,3,4.1,4.1,3.6,0.7,0.708,0.8,0.044,0.138
25,0,Travel Frequently,1106,R&D,14,5,Other,4,Female,140,2,3,Technical Architect,1,Divorced,25000000,10000,1,No,2.56,3,2,3,14,4,2,1.1,1.1,0.6,1.1,0.28,0.52,0.252,0.52
26,0,Travel Frequently,826,R&D,4,4,Medical,2,Female,97,3,1,Technical Architect,3,Married,13537829,10000,2,No,2.19,3,2,2,4,2,1,4.4,4.4,0.1,2.9,0.014,0.814,0.372,0.54
65,1,Travel Rarely,896,R&D,4,4,Business,1,Male,114,3,3,Software Engineer,3,Divorced,20057901,10000,2,No,4.46,3,3,3,7,1,1,0.6,0.6,0.1,0.6,0.037,0.358,0.123,0.358
54,0,Travel Rarely,432,Finance,1,4,Other,4,Female,58,3,3,Controller,4,Divorced,25000000,8794,1,Yes,2.43,4,2,3,12,0,4,4.7,2.2,0.2,4.7,0.031,0.384,0.0,0.825
37,0,Travel Rarely,574,Finance,3,3,Business,4,Male,73,2,3,Senior Analyst,2,Divorced,13426960,10000,3,No,3.62,2,4,2,5,1,4,2.2,0.5,0.4,2.2,0.116,0.159,0.154,0.692
44,0,Non-Travel,497,Sales,30,3,Other,3,Male,54,1,4,Sales Manager,3,Single,25000000,10000,3,Yes,2.3,3,4,1,12,5,3,1.1,0.5,0.0,1.1,0.003,0.254,0.383,0.521
49,0,Non-Travel,537,Sales,2,2,Medical,3,Male,79,3,3,Regional Director,1,Divorced,15779621,10000,1,No,4.92,3,2,1,2,3,1,2.9,1.9,2.4,2.9,0.612,0.495,0.777,0.741
46,0,Travel Rarely,573,HR,4,4,Technical Degree,3,Male,68,2,1,HR Director,4,Divorced,25000000,10000,1,No,3.51,4,1,3,17,3,1,4.9,1.4,0.1,1.6,0.011,0.243,0.164,0.269
49,0,Non-Travel,875,R&D,1,2,Life Sciences,4,Male,97,2,2,Product Manager,4,Single,10833333,10000,2,No,2.14,3,2,0,0,3,4,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
31,0,Non-Travel,197,Finance,1,5,Other,3,Male,35,3,2,Analyst,4,Single,18055106,4426,2,No,2.25,2,4,3,12,3,3,12.2,1.3,0.0,0.6,0.003,0.095,0.227,0.042
35,1,Travel Rarely,881,HR,30,2,Life Sciences,4,Male,104,3,1,Chief People Officer,4,Married,24782933,10000,2,Yes,1.01,3,2,0,15,1,2,2.0,2.0,1.5,0.5,0.496,0.664,0.06,0.168
34,0,Travel Rarely,833,HR,27,2,Business,4,Male,100,4,4,Chief People Officer,3,Single,25000000,10000,4,No,2.05,4,3,1,12,1,1,3.2,0.9,0.5,1.1,0.115,0.215,0.072,0.253
41,0,Non-Travel,433,R&D,14,3,Other,2,Male,37,1,2,Product Manager,3,Divorced,24305217,8963,2,No,2.87,2,4,1,18,0,2,5.5,5.5,1.6,5.5,0.248,0.846,0.0,0.846
48,0,Travel Frequently,112,Operations,12,3,Technical Degree,3,Female,29,1,2,Process Engineer,3,Single,23131928,2248,1,Yes,3.19,1,4,1,22,1,4,1.9,1.9,0.3,1.5,0.115,0.659,0.043,0.496
39,0,Non-Travel,429,R&D,5,1,Technical Degree,3,Female,53,1,3,Research Lead,4,Divorced,25000000,9013,2,No,2.63,4,2,0,21,2,1,5.2,0.5,0.6,0.8,0.102,0.089,0.088,0.125
38,0,Non-Travel,443,Operations,10,2,Life Sciences,4,Male,60,2,3,VP Operations,4,Single,25000000,9592,2,No,0.99,3,3,3,13,0,2,13.2,0.5,0.1,2.3,0.004,0.035,0.0,0.164
22,0,Travel Frequently,1193,Sales,30,4,Life Sciences,3,Male,150,4,4,VP Sales,4,Single,25000000,10000,3,No,2.16,4,3,2,25,2,1,1.0,1.0,0.3,1.0,0.129,0.49,0.075,0.49
22,0,Travel Rarely,604,R&D,15,2,Technical Degree,3,Male,69,2,3,Technical Architect,4,Married,23174725,10000,1,No,2.34,4,4,1,5,3,1,2.7,2.7,0.8,2.7,0.207,0.73,0.479,0.73
35,1,Travel Rarely,193,HR,5,3,Life Sciences,4,Female,21,4,3,HR Specialist,4,Married,15631759,3505,2,No,3.53,2,4,1,7,2,3,0.5,0.5,0.0,0.5,0.0,0.333,0.229,0.333
29,0,Travel Rarely,174,Sales,3,3,Medical,2,Female,30,3,3,Regional Director,2,Married,25000000,3859,2,Yes,2.01,3,1,2,14,1,3,7.4,6.0,0.7,1.0,0.086,0.708,0.064,0.123
42,0,Non-Travel,202,Finance,7,2,Other,2,Female,20,3,2,Senior Analyst,3,Married,25000000,3998,1,No,1.89,3,1,2,15,1,1,1.9,0.5,0.3,0.5,0.118,0.172,0.062,0.172
32,0,Travel Frequently,183,Finance,23,3,Life Sciences,2,Female,25,4,1,Senior Analyst,3,Married,25000000,3131,1,No,5.19,3,2,3,18,3,1,6.7,2.5,1.7,5.6,0.221,0.322,0.15,0.72
37,0,Non-Travel,372,Operations,1,4,Medical,1,Male,51,4,3,Operations Manager,4,Single,25000000,7861,3,No,2.86,4,2,1,14,1,1,1.4,1.4,0.9,1.4,0.383,0.588,0.064,0.588
26,0,Non-Travel,350,R&D,3,4,Medical,3,Female,42,1,2,Software Engineer,2,Married,25000000,7275,2,No,1.58,4,4,1,12,2,2,0.8,0.8,0.3,0.8,0.165,0.443,0.145,0.443
22,0,Travel Rarely,615,Finance,9,3,Other,4,Male,63,4,2,Analyst,2,Married,25000000,10000,3,No,2.66,3,3,1,20,0,3,6.8,2.8,0.2,0.7,0.032,0.36,0.0,0.09
47,0,Travel Rarely,1304,HR,19,2,Technical Degree,4,Male,150,3,2,HR Director,2,Married,25000000,10000,1,No,1.5,4,2,0,23,0,4,23.6,1.5,0.1,0.9,0.005,0.06,0.0,0.037
40,0,Travel Rarely,196,HR,7,3,Other,3,Female,29,3,1,HR Specialist,2,Married,19560673,4518,4,No,1.02,3,2,3,10,3,2,1.4,0.5,0.9,1.4,0.377,0.208,0.263,0.585
50,1,Non-Travel,591,HR,3,3,Life Sciences,4,Female,74,3,3,Chief People Officer,2,Divorced,22374421,10000,5,Yes,1.98,3,2,1,9,2,1,9.5,2.1,0.0,0.5,0.0,0.198,0.191,0.048
30,0,Travel Frequently,216,HR,5,2,Other,2,Male,29,4,3,Chief People Officer,3,Divorced,24240162,4756,1,No,1.69,3,2,0,11,1,1,1.9,0.9,0.5,1.3,0.167,0.296,0.081,0.454
57,0,Non-Travel,893,Operations,5,4,Medical,2,Male,107,1,3,Process Engineer,2,Single,25000000,10000,4,No,3.58,3,3,1,12,3,3,3.3,3.3,1.2,0.7,0.282,0.765,0.217,0.161
52,0,Travel Frequently,279,Operations,8,3,Business,2,Male,30,3,1,Director of Ops,4,Married,14235301,5790,3,Yes,3.27,3,3,2,5,2,3,1.4,0.8,0.0,1.4,0.0,0.332,0.33,0.577
58,0,Non-Travel,791,Sales,8,3,Technical Degree,3,Male,101,3,3,Sales Manager,4,Divorced,25000000,10000,1,No,2.07,4,2,0,19,2,3,9.1,3.0,0.4,1.3,0.038,0.294,0.096,0.133
49,0,Travel Frequently,655,Operations,20,3,Business,3,Female,83,2,1,Director of Ops,1,Single,25000000,10000,1,No,3.3,4,4,1,11,3,1,2.9,1.5,0.0,2.9,0.005,0.376,0.232,0.742
24,0,Travel Frequently,159,Sales,12,4,Technical Degree,2,Female,23,2,4,Account Manager,1,Married,19736574,3192,2,Yes,2.2,3,2,1,3,3,4,3.9,0.9,0.1,0.6,0.013,0.174,0.612,0.127
22,0,Travel Rarely,488,Operations,16,3,Business,3,Male,56,3,1,VP Operations,4,Divorced,24562451,10000,1,No,2.3,3,2,1,15,0,1,14.8,11.3,0.2,2.4,0.01,0.718,0.0,0.151
36,0,Non-Travel,406,Sales,10,3,Other,2,Female,46,4,2,Sales Manager,2,Divorced,12048631,8539,4,No,4.5,2,3,1,6,4,4,6.2,3.4,1.1,2.8,0.159,0.469,0.554,0.392
34,0,Non-Travel,960,Sales,3,3,Life Sciences,1,Male,124,3,3,Sales Executive,3,Married,24728249,10000,1,No,2.29,3,3,0,11,1,3,0.6,0.6,0.1,0.6,0.053,0.368,0.078,0.368
46,0,Travel Rarely,346,HR,5,2,Medical,1,Male,34,4,2,HR Manager,3,Married,25000000,7102,4,No,2.22,3,2,1,23,3,3,4.1,2.9,1.5,4.0,0.303,0.566,0.12,0.791
58,0,Travel Rarely,313,Operations,4,3,Life Sciences,3,Female,49,1,2,Director of Ops,1,Divorced,25000000,6682,3,No,0.2,4,4,3,12,6,2,0.5,0.5,0.0,0.5,0.0,0.333,0.454,0.333
45,0,Travel Rarely,458,R&D,5,3,Life Sciences,4,Male,48,3,2,Product Manager,4,Married,8311944,9813,1,Yes,1.58,1,2,1,7,2,2,0.6,0.6,0.1,0.6,0.091,0.394,0.236,0.394
42,0,Travel Frequently,458,Sales,6,3,Technical Degree,2,Female,59,3,2,Regional Director,2,Single,16596083,9646,2,No,2.15,3,3,0,5,5,4,1.5,1.1,0.2,0.8,0.065,0.445,0.739,0.334
42,0,Travel Rarely,412,Sales,2,4,Technical Degree,4,Male,55,3,2,Sales Executive,3,Divorced,25000000,8546,1,No,2.03,4,2,1,11,4,4,4.3,2.8,2.1,3.4,0.4,0.54,0.316,0.639
52,0,Travel Rarely,454,R&D,4,2,Business,3,Female,51,2,5,Data Scientist,4,Divorced,25000000,9926,1,No,3.06,3,2,1,17,0,2,4.7,1.4,0.8,1.7,0.14,0.246,0.0,0.297
35,0,Travel Frequently,682,Finance,15,3,Life Sciences,1,Female,94,3,3,CFO,4,Married,24864496,10000,1,No,3.27,3,2,1,11,2,2,8.7,2.2,0.2,3.4,0.02,0.227,0.154,0.349
51,0,Travel Rarely,182,Finance,3,3,Medical,2,Female,32,2,3,Senior Analyst,4,Divorced,25000000,4016,3,Yes,3.53,3,3,1,19,2,4,4.9,1.4,0.8,3.2,0.144,0.245,0.097,0.548
26,0,Non-Travel,900,Operations,7,2,Other,4,Female,117,4,4,Director of Ops,4,Single,25000000,10000,1,No,3.89,4,2,2,23,3,4,13.2,0.5,0.1,1.2,0.005,0.035,0.123,0.083
31,0,Non-Travel,1218,Sales,4,3,Technical Degree,3,Male,150,3,2,Account Manager,3,Married,19579456,10000,5,Yes,3.84,4,4,3,3,2,2,0.9,0.9,0.4,0.9,0.191,0.461,0.421,0.461
45,0,Travel Rarely,191,HR,1,3,Medical,3,Male,20,1,2,HR Manager,3,Married,25000000,4176,3,Yes,3.64,3,2,0,19,2,3,6.8,0.5,0.1,3.5,0.013,0.071,0.1,0.452
53,0,Travel Rarely,1214,R&D,6,2,Other,3,Male,150,4,3,Product Manager,1,Married,25000000,10000,1,Yes,2.25,3,4,2,15,4,3,5.3,0.5,0.0,1.7,0.001,0.08,0.249,0.264
42,0,Non-Travel,318,Finance,1,2,Medical,4,Female,41,4,2,Senior Analyst,1,Single,25000000,6541,1,Yes,1.92,3,4,0,14,2,2,1.1,0.9,0.1,0.5,0.045,0.446,0.129,0.261
40,0,Non-Travel,1146,Finance,4,1,Technical Degree,4,Male,150,3,3,Financial Manager,3,Divorced,16362893,10000,2,No,2.94,3,2,1,3,1,2,3.4,0.5,0.0,3.4,0.01,0.112,0.225,0.775
22,0,Travel Rarely,357,R&D,9,3,Business,4,Male,46,3,2,Research Lead,4,Divorced,25000000,7576,1,No,2.78,4,3,1,27,4,2,11.8,1.6,0.2,7.0,0.014,0.126,0.138,0.548
47,0,Travel Frequently,199,R&D,28,4,Business,3,Female,31,3,5,Software Engineer,3,Divorced,25000000,3944,2,Yes,4.45,3,3,1,16,1,1,2.5,0.9,0.4,2.2,0.106,0.252,0.058,0.638
43,0,Non-Travel,865,Sales,15,3,Medical,1,Male,111,2,3,VP Sales,2,Single,25000000,10000,1,Yes,2.57,3,2,1,22,3,2,4.3,4.3,0.8,4.3,0.155,0.812,0.125,0.812
34,0,Travel Rarely,237,HR,2,2,Medical,2,Female,22,2,1,Chief People Officer,2,Divorced,16883985,5495,1,No,2.93,3,3,0,7,2,1,7.7,5.8,2.4,7.7,0.276,0.668,0.229,0.885
39,0,Travel Rarely,411,Finance,25,2,Other,1,Female,49,2,2,Controller,2,Married,25000000,8150,3,No,1.19,4,3,3,32,2,2,6.8,2.9,3.5,1.1,0.444,0.375,0.06,0.144
38,1,Travel Rarely,200,HR,24,4,Medical,2,Female,36,1,2,Recruiter,3,Divorced,25000000,4184,1,No,1.16,3,2,1,17,2,2,3.2,3.2,2.7,1.1,0.641,0.761,0.111,0.27
48,0,Non-Travel,630,Finance,1,3,Other,2,Female,80,1,2,Financial Manager,1,Divorced,23679363,10000,3,Yes,2.89,3,4,2,12,1,1,12.4,1.6,0.2,8.6,0.015,0.119,0.072,0.641
41,0,Travel Frequently,205,Sales,3,3,Life Sciences,2,Female,28,4,1,Regional Director,3,Single,4166666,4634,1,No,1.47,2,3,1,0,3,3,0.0,0.0,-0.5,0.0,-0.5,0.0,3.0,0.0
55,0,Travel Rarely,636,Operations,4,2,Business,3,Male,79,2,3,Operations Specialist,2,Single,25000000,10000,1,Yes,4.36,4,3,0,15,1,4,15.5,2.8,0.9,1.1,0.056,0.167,0.061,0.068
46,0,Non-Travel,100,Finance,23,5,Technical Degree,2,Male,22,3,1,Controller,2,Single,25000000,1901,1,No,1.47,3,3,2,25,2,1,6.4,2.4,0.0,6.4,0.003,0.328,0.074,0.866
